displayId,timestamp,dayOfWeek,hourOfDay,advertiserId,campaignId,creativeId,publisher,widgetId,device,os,browser,source,docId,userId,clicked
4706262,1578429005696,4,0,290,7855,6,10,6262,0,0,0,11,3543873,2688642,1
4706262,1578429005696,4,0,1386,7967,15,10,6262,0,0,0,11,3543873,2688642,0
4706262,1578429005696,4,0,378,1160,3610,10,6262,0,0,0,11,3543873,2688642,0
4706267,1578429007726,4,0,6642,804,3475,14,607,1,3,0,15,6245475,2688641,1
4706267,1578429007726,4,0,8414,6155,5271,14,607,1,3,0,15,6245475,2688641,0
4706267,1578429007726,4,0,8414,8343,5279,14,607,1,3,0,15,6245475,2688641,0
4706267,1578429007726,4,0,3137,286,5316,14,607,1,3,0,15,6245475,2688641,0
4706267,1578429007726,4,0,6783,376,237,14,607,1,3,0,15,6245475,2688641,0
4706260,1578429012060,4,0,5175,6471,49,1098,11458,0,0,1,4600,4416499,2688638,1
4706260,1578429012060,4,0,4187,4458,5332,1098,11458,0,0,1,4600,4416499,2688638,0
4706260,1578429012060,4,0,1386,4198,3634,1098,11458,0,0,1,4600,4416499,2688638,0
4706255,1578429017218,4,0,5175,6471,49,22,9358,0,0,0,23,6246028,1962852,0
4706255,1578429017218,4,0,378,1160,3609,22,9358,0,0,0,23,6246028,1962852,0
4706255,1578429017218,4,0,6409,2533,5375,22,9358,0,0,0,23,6246028,1962852,0
4706255,1578429017218,4,0,378,1160,3614,22,9358,0,0,0,23,6246028,1962852,1
4706256,1578429021388,4,0,5175,6471,25,22,9358,0,0,0,23,5327047,2687719,1
4706256,1578429021388,4,0,5175,6471,49,22,9358,0,0,0,23,5327047,2687719,0
4706256,1578429021388,4,0,378,1160,3609,22,9358,0,0,0,23,5327047,2687719,0
4706256,1578429021388,4,0,378,1160,3614,22,9358,0,0,0,23,5327047,2687719,0
4706235,1578429023501,4,0,5175,6471,49,22,9358,0,0,0,23,6245689,2688634,0
4706235,1578429023501,4,0,378,1160,3609,22,9358,0,0,0,23,6245689,2688634,0
4706235,1578429023501,4,0,378,1160,3614,22,9358,0,0,0,23,6245689,2688634,0
4706235,1578429023501,4,0,5175,6471,25,22,9358,0,0,0,23,6245689,2688634,1
4706181,1578429029640,4,0,6883,3382,4611,90,5802,0,0,5,232,83625,2688629,1
4706181,1578429029640,4,0,5687,2648,4277,90,5802,0,0,5,232,83625,2688629,0
4706181,1578429029640,4,0,6409,2533,5375,90,5802,0,0,5,232,83625,2688629,0
4706181,1578429029640,4,0,290,5381,5200,90,5802,0,0,5,232,83625,2688629,0
4706228,1578429035793,4,0,3096,8704,22,1098,11458,1,1,4,4600,4096624,745082,0
4706228,1578429035793,4,0,8414,6155,5271,1098,11458,1,1,4,4600,4096624,745082,0
4706228,1578429035793,4,0,8414,8343,5423,1098,11458,1,1,4,4600,4096624,745082,0
4706228,1578429035793,4,0,1925,9276,3324,1098,11458,1,1,4,4600,4096624,745082,0
4706228,1578429035793,4,0,3096,976,4209,1098,11458,1,1,4,4600,4096624,745082,1
4706228,1578429035793,4,0,3543,5909,5157,1098,11458,1,1,4,4600,4096624,745082,0
4706234,1578429036317,4,0,6883,3382,4611,31,7691,0,0,0,32,6244430,2688626,0
4706234,1578429036317,4,0,3344,2669,5236,31,7691,0,0,0,32,6244430,2688626,0
4706234,1578429036317,4,0,8078,1587,4658,31,7691,0,0,0,32,6244430,2688626,0
4706234,1578429036317,4,0,8078,1587,4657,31,7691,0,0,0,32,6244430,2688626,1
4706237,1578429039027,4,0,8414,8343,5428,22,9358,1,1,0,23,6246028,804452,1
4706237,1578429039027,4,0,3847,4206,3077,22,9358,1,1,0,23,6246028,804452,0
4706237,1578429039027,4,0,6409,2533,5375,22,9358,1,1,0,23,6246028,804452,0
4706220,1578429049353,4,0,3409,7626,3274,31,1882,0,0,5,32,5826626,2688511,1
4706220,1578429049353,4,0,1386,7967,2231,31,1882,0,0,5,32,5826626,2688511,0
4706220,1578429049353,4,0,4187,4458,5020,31,1882,0,0,5,32,5826626,2688511,0
4706211,1578429049596,4,0,3409,7626,3274,31,7691,0,0,1,32,6244430,2688618,0
4706211,1578429049596,4,0,8078,1587,4657,31,7691,0,0,1,32,6244430,2688618,1
4706211,1578429049596,4,0,8078,1587,4658,31,7691,0,0,1,32,6244430,2688618,0
4706211,1578429049596,4,0,3344,2669,5236,31,7691,0,0,1,32,6244430,2688618,0
4706189,1578429059848,4,0,3409,7626,3274,31,7691,0,0,1,32,6244430,2687999,1
4706189,1578429059848,4,0,8078,1587,4658,31,7691,0,0,1,32,6244430,2687999,0
4706189,1578429059848,4,0,3344,2669,5236,31,7691,0,0,1,32,6244430,2687999,0
4706189,1578429059848,4,0,8078,1587,4657,31,7691,0,0,1,32,6244430,2687999,0
4706180,1578429060680,4,0,8195,2477,4958,1098,13208,1,1,0,4600,4096624,2688484,0
4706180,1578429060680,4,0,8414,8343,5427,1098,13208,1,1,0,4600,4096624,2688484,0
4706180,1578429060680,4,0,6783,3005,681,1098,13208,1,1,0,4600,4096624,2688484,0
4706180,1578429060680,4,0,8195,6562,2378,1098,13208,1,1,0,4600,4096624,2688484,1
4706200,1578429061204,4,0,8078,1587,4657,31,7691,0,0,0,32,6245932,88708,0
4706200,1578429061204,4,0,3344,2669,5236,31,7691,0,0,0,32,6245932,88708,0
4706200,1578429061204,4,0,6883,3382,4611,31,7691,0,0,0,32,6245932,88708,0
4706200,1578429061204,4,0,8078,1587,4658,31,7691,0,0,0,32,6245932,88708,1
4706173,1578429064595,4,0,378,1160,3610,22,6951,0,0,0,23,6243998,2688608,0
4706173,1578429064595,4,0,4439,4283,5405,22,6951,0,0,0,23,6243998,2688608,0
4706173,1578429064595,4,0,1386,4198,3634,22,6951,0,0,0,23,6243998,2688608,0
4706173,1578429064595,4,0,290,5381,5200,22,6951,0,0,0,23,6243998,2688608,0
4706173,1578429064595,4,0,4439,4283,5407,22,6951,0,0,0,23,6243998,2688608,1
4706187,1578429068198,4,0,3409,7626,3274,18,14195,0,0,1,19,5420481,2688607,0
4706187,1578429068198,4,0,5687,3082,2011,18,14195,0,0,1,19,5420481,2688607,0
4706187,1578429068198,4,0,290,5381,5198,18,14195,0,0,1,19,5420481,2688607,0
4706187,1578429068198,4,0,8078,1587,4659,18,14195,0,0,1,19,5420481,2688607,0
4706187,1578429068198,4,0,3409,7626,17,18,14195,0,0,1,19,5420481,2688607,1
4706176,1578429070914,4,0,6883,3382,4611,1430,10184,0,0,0,10200,6106989,3256,0
4706176,1578429070914,4,0,8078,1587,4660,1430,10184,0,0,0,10200,6106989,3256,0
4706176,1578429070914,4,0,290,5381,5200,1430,10184,0,0,0,10200,6106989,3256,0
4706176,1578429070914,4,0,1386,7967,58,1430,10184,0,0,0,10200,6106989,3256,0
4706176,1578429070914,4,0,1386,7967,89,1430,10184,0,0,0,10200,6106989,3256,0
4706176,1578429070914,4,0,4187,4458,5020,1430,10184,0,0,0,10200,6106989,3256,1
4706176,1578429070914,4,0,8078,1587,4327,1430,10184,0,0,0,10200,6106989,3256,0
4706158,1578429080610,4,0,3240,7140,2224,86,1422,0,2,2,91,41933,2688602,0
4706158,1578429080610,4,0,8078,1587,4327,86,1422,0,2,2,91,41933,2688602,1
4706147,1578429091628,4,0,3409,7626,17,28,8139,0,0,1,29,8626,2688593,0
4706147,1578429091628,4,0,290,7855,6,28,8139,0,0,1,29,8626,2688593,1
4706147,1578429091628,4,0,290,5381,5196,28,8139,0,0,1,29,8626,2688593,0
4706160,1578429094674,4,0,290,5381,5198,18,14195,0,0,0,19,6207847,2138111,0
4706160,1578429094674,4,0,8078,1587,4659,18,14195,0,0,0,19,6207847,2138111,0
4706160,1578429094674,4,0,4187,4458,5332,18,14195,0,0,0,19,6207847,2138111,0
4706160,1578429094674,4,0,3409,7626,3274,18,14195,0,0,0,19,6207847,2138111,1
4706146,1578429099618,4,0,3073,1402,48,923,11401,1,1,4,2695,5213595,2688589,0
4706146,1578429099618,4,0,3137,286,18,923,11401,1,1,4,2695,5213595,2688589,0
4706146,1578429099618,4,0,8195,6562,2351,923,11401,1,1,4,2695,5213595,2688589,0
4706146,1578429099618,4,0,3096,976,4209,923,11401,1,1,4,2695,5213595,2688589,0
4706146,1578429099618,4,0,8195,2477,4958,923,11401,1,1,4,2695,5213595,2688589,1
4706146,1578429099618,4,0,3096,8704,22,923,11401,1,1,4,2695,5213595,2688589,0
4706148,1578429102122,4,0,8078,1587,4659,33,12776,0,0,0,34,6133771,690264,0
4706148,1578429102122,4,0,290,2742,3661,33,12776,0,0,0,34,6133771,690264,0
4706148,1578429102122,4,0,3409,7626,3274,33,12776,0,0,0,34,6133771,690264,0
4706148,1578429102122,4,0,8078,1587,4660,33,12776,0,0,0,34,6133771,690264,1
4706148,1578429102122,4,0,8078,1587,4658,33,12776,0,0,0,34,6133771,690264,0
4706143,1578429102271,4,0,3409,7626,3274,422,1765,0,0,5,533,74091,2688556,1
4706143,1578429102271,4,0,6883,3382,4611,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,8078,1587,4327,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,8078,1587,4668,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,290,5381,5196,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,3344,2669,5236,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,3409,7626,17,422,1765,0,0,5,533,74091,2688556,0
4706143,1578429102271,4,0,290,5381,5198,422,1765,0,0,5,533,74091,2688556,0
4706153,1578429103369,4,0,290,5381,5200,63,8893,0,0,0,66,5398935,2688585,0
4706153,1578429103369,4,0,290,5381,5196,63,8893,0,0,0,66,5398935,2688585,1
4706108,1578429104888,4,0,5979,5547,3344,486,8142,0,0,4,634,8116,2688584,0
4706108,1578429104888,4,0,1386,7967,2610,486,8142,0,0,4,634,8116,2688584,1
4706138,1578429116843,4,0,378,1160,3614,22,9358,0,0,0,23,6122132,2688578,0
4706138,1578429116843,4,0,378,1160,3609,22,9358,0,0,0,23,6122132,2688578,0
4706138,1578429116843,4,0,5175,6471,25,22,9358,0,0,0,23,6122132,2688578,1
4706138,1578429116843,4,0,5175,6471,49,22,9358,0,0,0,23,6122132,2688578,0
4706132,1578429119148,4,0,8078,1587,4657,31,7691,0,0,0,32,6079243,2687358,1
